#OTU ID	75F10	72F7	41F5	12F2	84F9	52F5	74F8	94F7	24F9	93F7	53F8	54F4	102F3	105F4	51F4	83F4	21F5	91F7	23F2	92F10	95F10	55F1	104F8	22F2	71F8	85F5	103F5	82F7	73F4	25F1	101F3	31F3	81F8	45F9	44F1	14F8	43F8	42F10	15F4	11F4	32F2	34F3	13F7	35F8	33F5
4476527	15.0	31.0	2.0	13.0	15.0	1.0	31.0	9.0	11.0	6.0	1.0	0.0	12.0	8.0	0.0	21.0	24.0	5.0	14.0	6.0	6.0	1.0	10.0	9.0	19.0	1.0	6.0	32.0	7.0	20.0	3.0	41.0	4.0	1.0	2.0	26.0	1.0	1.0	11.0	7.0	105.0	49.0	8.0	91.0	8.0
4300690	6.0	13.0	0.0	0.0	35.0	0.0	66.0	15.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	87.0	0.0	177.0	11.0	0.0	0.0	0.0	80.0	76.0	0.0	80.0	212.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3413566	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	77.0	1.0	37.0	79.0
311950	63.0	20.0	0.0	0.0	22.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	37.0	0.0	88.0	7.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
176062	101.0	416.0	417.0	0.0	41.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	24.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	148.0	27.0	0.0	46.0	159.0	0.0	0.0	0.0	18.0	154.0	151.0	0.0	154.0	209.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
4476780	14.0	7.0	131.0	39.0	85.0	833.0	7.0	77.0	40.0	87.0	1133.0	1753.0	1.0	0.0	530.0	97.0	8.0	69.0	0.0	76.0	74.0	971.0	0.0	9.0	15.0	95.0	2.0	76.0	10.0	1.0	0.0	125.0	32.0	75.0	341.0	34.0	152.0	110.0	11.0	52.0	237.0	228.0	28.0	103.0	85.0
2951214	785.0	201.0	1.0	111.0	60.0	0.0	69.0	314.0	1.0	309.0	0.0	0.0	185.0	141.0	0.0	252.0	0.0	326.0	0.0	278.0	681.0	3.0	67.0	0.0	260.0	152.0	126.0	179.0	160.0	0.0	62.0	1.0	80.0	0.0	2.0	573.0	1.0	0.0	106.0	256.0	0.0	1.0	485.0	0.0	2.0
197458	46.0	431.0	1574.0	1557.0	79.0	1203.0	210.0	564.0	3.0	230.0	2668.0	474.0	844.0	588.0	1335.0	18.0	1.0	12.0	7.0	4.0	112.0	1191.0	1066.0	2.0	62.0	216.0	958.0	77.0	245.0	1.0	418.0	44.0	44.0	313.0	641.0	2056.0	2207.0	855.0	2718.0	2870.0	93.0	2011.0	3390.0	2198.0	26.0
791348	1.0	0.0	1038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.0	1249.0	0.0	623.0	460.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
1142029	0.0	0.0	76.0	3.0	18.0	0.0	0.0	0.0	37.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	15.0	0.0	37.0	0.0	0.0	0.0	0.0	50.0	0.0	13.0	0.0	13.0	0.0	47.0	0.0	134.0	1.0	99.0	22.0	5.0	29.0	79.0	94.0	4.0	119.0	3.0	6.0	12.0	91.0
4331360	31.0	100.0	15.0	0.0	66.0	63.0	90.0	63.0	354.0	43.0	61.0	87.0	68.0	73.0	52.0	37.0	257.0	67.0	268.0	41.0	26.0	51.0	180.0	335.0	89.0	23.0	102.0	41.0	40.0	244.0	32.0	134.0	7.0	15.0	33.0	0.0	21.0	10.0	0.0	0.0	185.0	614.0	1.0	56.0	31.0
186104	4.0	0.0	0.0	0.0	582.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	807.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	742.0	0.0	911.0	2.0	0.0	1.0	0.0	376.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
3472078	18.0	9.0	23.0	18.0	5.0	67.0	7.0	1.0	4.0	2.0	43.0	3.0	0.0	13.0	28.0	1.0	16.0	0.0	18.0	2.0	2.0	56.0	9.0	9.0	11.0	7.0	4.0	10.0	13.0	33.0	1.0	2.0	7.0	38.0	86.0	2.0	149.0	42.0	3.0	8.0	13.0	4.0	22.0	24.0	0.0
188966	3.0	11.0	27.0	0.0	0.0	17.0	4.0	2.0	2.0	16.0	36.0	36.0	3.0	0.0	36.0	5.0	0.0	19.0	3.0	43.0	6.0	13.0	3.0	7.0	5.0	0.0	6.0	2.0	1.0	1.0	1.0	0.0	0.0	14.0	12.0	0.0	7.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
197077	13.0	121.0	411.0	358.0	21.0	290.0	40.0	142.0	2.0	62.0	676.0	116.0	182.0	158.0	321.0	3.0	0.0	2.0	0.0	1.0	27.0	308.0	307.0	2.0	17.0	62.0	263.0	20.0	58.0	0.0	102.0	19.0	18.0	67.0	163.0	521.0	603.0	213.0	571.0	724.0	26.0	469.0	861.0	509.0	6.0
197072	104.0	52.0	41.0	49.0	20.0	202.0	53.0	1.0	44.0	21.0	121.0	20.0	5.0	66.0	114.0	7.0	75.0	0.0	116.0	1.0	13.0	97.0	42.0	52.0	65.0	17.0	24.0	26.0	89.0	112.0	0.0	10.0	10.0	177.0	145.0	8.0	103.0	198.0	3.0	42.0	18.0	23.0	50.0	27.0	18.0
175642	8.0	12.0	9.0	12.0	1.0	9.0	13.0	1.0	1.0	1.0	3.0	1.0	9.0	9.0	2.0	0.0	2.0	4.0	8.0	3.0	1.0	5.0	5.0	12.0	3.0	1.0	6.0	2.0	0.0	8.0	3.0	0.0	2.0	5.0	7.0	30.0	3.0	1.0	39.0	43.0	0.0	0.0	40.0	0.0	0.0
248902	1.0	7.0	4.0	3.0	2.0	0.0	4.0	0.0	10.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	47.0	9.0	5.0	24.0	16.0	0.0	1.0	145.0	1.0	0.0	2.0	0.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	9.0	3.0	56.0	0.0	3.0	1.0	0.0	27.0
4385326	2.0	2.0	65.0	0.0	20.0	57.0	0.0	4.0	192.0	36.0	76.0	53.0	82.0	101.0	137.0	5.0	57.0	43.0	203.0	32.0	7.0	38.0	156.0	250.0	0.0	7.0	158.0	12.0	0.0	222.0	39.0	0.0	2.0	44.0	128.0	0.0	45.0	20.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
4465124	31.0	38.0	0.0	0.0	37.0	0.0	64.0	6.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	36.0	0.0	32.0	6.0	0.0	0.0	0.0	41.0	43.0	0.0	56.0	68.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
4468384	171.0	693.0	207.0	47.0	9.0	5.0	182.0	2.0	1.0	0.0	26.0	6.0	9.0	66.0	11.0	2.0	1.0	7.0	3.0	4.0	0.0	5.0	13.0	1.0	178.0	6.0	31.0	20.0	86.0	0.0	9.0	245.0	9.0	16.0	56.0	17.0	34.0	69.0	49.0	143.0	806.0	335.0	64.0	675.0	296.0
275237	247.0	544.0	0.0	2.0	4.0	0.0	420.0	921.0	1.0	777.0	3.0	1.0	2691.0	2283.0	2.0	3.0	0.0	695.0	1.0	625.0	1380.0	2.0	1713.0	0.0	263.0	5.0	1605.0	1.0	431.0	0.0	1727.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0
365536	40.0	15.0	68.0	1.0	5.0	39.0	12.0	3.0	18.0	13.0	51.0	60.0	23.0	45.0	34.0	2.0	8.0	8.0	13.0	13.0	3.0	21.0	43.0	7.0	30.0	9.0	12.0	7.0	33.0	4.0	6.0	0.0	1.0	45.0	84.0	4.0	76.0	109.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0
1740498	22.0	14.0	40.0	7.0	56.0	1.0	17.0	18.0	72.0	11.0	0.0	0.0	8.0	37.0	0.0	32.0	31.0	8.0	42.0	5.0	11.0	1.0	46.0	51.0	8.0	29.0	17.0	52.0	19.0	63.0	4.0	1.0	19.0	38.0	124.0	45.0	68.0	46.0	13.0	12.0	0.0	0.0	24.0	0.0	1.0
299837	1981.0	5272.0	1038.0	286.0	1217.0	1606.0	4471.0	1049.0	1379.0	1705.0	2800.0	697.0	2673.0	2311.0	1344.0	1209.0	1546.0	1567.0	1934.0	1125.0	2001.0	2186.0	3233.0	874.0	4073.0	1838.0	1546.0	1247.0	2469.0	3579.0	1353.0	1013.0	423.0	298.0	1175.0	784.0	1476.0	668.0	814.0	664.0	2983.0	1354.0	573.0	2322.0	277.0
825808	1.0	1.0	455.0	19.0	100.0	0.0	0.0	0.0	177.0	0.0	0.0	0.0	1.0	1.0	0.0	63.0	100.0	0.0	216.0	0.0	0.0	0.0	0.0	297.0	0.0	73.0	0.0	50.0	0.0	228.0	0.0	788.0	21.0	548.0	150.0	33.0	132.0	677.0	636.0	27.0	738.0	22.0	34.0	84.0	426.0
4401580	207.0	335.0	345.0	5.0	4.0	9.0	158.0	0.0	3.0	0.0	6.0	5.0	0.0	4.0	6.0	1.0	1.0	1.0	7.0	0.0	0.0	8.0	7.0	3.0	197.0	0.0	0.0	1.0	190.0	8.0	2.0	2.0	0.0	237.0	827.0	1.0	446.0	273.0	0.0	5.0	4.0	9.0	0.0	3.0	1.0
336614	3077.0	7569.0	20.0	629.0	171.0	4959.0	1790.0	1224.0	2281.0	3279.0	6438.0	3454.0	4167.0	1796.0	7087.0	1449.0	1128.0	7269.0	1902.0	3958.0	2428.0	4267.0	1522.0	1916.0	4585.0	2158.0	2545.0	644.0	1345.0	1874.0	1870.0	687.0	308.0	1668.0	938.0	388.0	16.0	267.0	1339.0	1248.0	1534.0	191.0	839.0	480.0	444.0
